PadNumber,PinName,PinType
1,PE2,gpio
2,PE3,gpio
3,PE4,gpio
4,PE5,gpio
5,PE6,gpio
6,VSS,ground
7,VDD,power
8,VBAT,power
9,PC13,gpio
10,PC14-OSC32IN,gpio
11,PC15-OSC32OUT,gpio
12,VSS,ground
13,VDD,power
14,VSSSMPS,ground
15,VLXSMPS,power
16,VDDSMPS,power
17,VFBSMPS,power
18,PF0,gpio
19,PF1,gpio
20,PF2,gpio
21,PF3,gpio
22,PF4,gpio
23,PF5,gpio
24,VSS,ground
25,VDD,power
26,PF6,gpio
27,PF7,gpio
28,PF8,gpio
29,PF9,gpio
30,PF10,gpio
31,PH0-OSCIN,gpio
32,PH1-OSCOUT,gpio
33,NRST,reset
34,PC0,gpio
35,PC1,gpio
36,PC2_C,gpio
37,PC3_C,gpio
38,VSSA,ground
39,VREFP,power
40,VDDA,power
41,PA0,gpio
42,PA1,gpio
43,PA2,gpio
44,VDD,power
45,VSS,ground
46,PA3,gpio
47,VSS,ground
48,VDD,power
49,PA4,gpio
50,PA5,gpio
51,PA6,gpio
52,PA7,gpio
53,PC4,gpio
54,PC5,gpio
55,PB0,gpio
56,PB1,gpio
57,PB2,gpio
58,PF11,gpio
59,PF12,gpio
60,PF13,gpio
61,PF14,gpio
62,PF15,gpio
63,PG0,gpio
64,VSS,ground
65,VDD,power
66,PG1,gpio
67,PE7,gpio
68,PE8,gpio
69,PE9,gpio
70,VSS,ground
71,VDD,power
72,PE10,gpio
73,PE11,gpio
74,PE12,gpio
75,PE13,gpio
76,PE14,gpio
77,PE15,gpio
78,PB10,gpio
79,PB11,gpio
80,VCORE,power
81,VSS,ground
82,VDDLDO,power
83,VSS,ground
84,VDD,power
85,PB12,gpio
86,PB13,gpio
87,EVENTOUTUSBHS1_DM,gpio
88,USBHS1_DP,gpio
89,PD8,gpio
90,PD9,gpio
91,PD10,gpio
92,VDD,power
93,VSS,ground
94,PD11,gpio
95,PD12,gpio
96,PD13,gpio
97,PD14,gpio
98,PD15,gpio
99,VDD,power
100,VSS,ground
101,PJ8,gpio
102,PJ9,gpio
103,PJ10,gpio
104,PJ11,gpio
105,VDD,power
106,VSS,ground
107,PK0,gpio
108,PK1,gpio
109,PK2,gpio
110,PG2,gpio
111,PG3,gpio
112,VSS,ground
113,VDD,power
114,PG4,gpio
115,PG5,gpio
116,PG6,gpio
117,PG7,gpio
118,PG8,gpio
119,VSS,ground
120,VDD50USB,power
121,VDD33USB,power
122,PC6,gpio
123,PC7,gpio
124,PC8,gpio
125,PC9,gpio
126,VDD,power
127,PA8,gpio
128,PA9,gpio
129,PA10,gpio
130,USBHS0_DM,gpio
131,USBHS0_DP,gpio
132,PA13,gpio
133,VCORE,power
134,VSS,ground
135,VDDLDO,power
136,VDD,power
137,VSS,ground
138,PA14,gpio
139,PA15,gpio
140,PC10,gpio
141,PC11,gpio
142,PC12,gpio
143,PD0,gpio
144,PD1,gpio
145,PD2,gpio
146,PD3,gpio
147,PD4,gpio
148,PD5,gpio
149,PD6,gpio
150,PD7,gpio
151,VSS,ground
152,VDD,power
153,PG9,gpio
154,PG10,gpio
155,PG11,gpio
156,PG12,gpio
157,PG13,gpio
158,PG14,gpio
159,VSS,ground
160,VDD,power
161,PG15,gpio
162,PB3,gpio
163,PB4,gpio
164,PB5,gpio
165,PB6,gpio
166,PB7,gpio
167,BOOT,gpio
168,PB8,gpio
169,PB9,gpio
170,PE0,gpio
171,PE1,gpio
172,VCORE,power
173,VSS,ground
174,PDR_ON,power
175,VDDLDO,power
176,VDD,power
